f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,label
0.0,0.0,0.0,-0.16660630702972412,-0.08261580020189285,-0.02887287177145481,-0.3198460638523102,-0.15587392449378967,-0.09055759757757187,-0.4732479155063629,-0.1601133793592453,-0.1597331315279007,-0.5540674924850464,-0.12733639776706696,-0.23528124392032623,-0.2815534472465515,-0.43827688694000244,-0.10089684277772903,-0.43906596302986145,-0.5917054414749146,-0.1746211051940918,-0.5377479195594788,-0.697725236415863,-0.2305249720811844,-0.6149151921272278,-0.7885932326316833,-0.28131234645843506,-0.2421850860118866,-0.4160500466823578,-0.13116218149662018,-0.5119772553443909,-0.3245728015899658,-0.18662457168102264,-0.4697955846786499,-0.20536930859088898,-0.18428528308868408,-0.3839752972126007,-0.19925977289676666,-0.18931671977043152,-0.22335442900657654,-0.3280196487903595,-0.1651533544063568,-0.47940075397491455,-0.1905422955751419,-0.1969592273235321,-0.41748756170272827,-0.11007104814052582,-0.15769468247890472,-0.32991766929626465,-0.12479866296052933,-0.1442931443452835,-0.22842593491077423,-0.2106342911720276,-0.2073497623205185,-0.42356327176094055,-0.07954856008291245,-0.24308571219444275,-0.37372174859046936,-0.022994505241513252,-0.22588805854320526,-0.2936611473560333,-0.03796448931097984,-0.21375012397766113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.054514672607183456,-0.20614227652549744,-0.011544490233063698,-0.18467342853546143,-0.33515074849128723,-0.03669966757297516,-0.32425248622894287,-0.3495018780231476,-0.06521544605493546,-0.4284123182296753,-0.3072493076324463,-0.09931644797325134,-0.25744038820266724,-0.4433842599391937,-0.10091562569141388,-0.4581136405467987,-0.5822542309761047,-0.16511282324790955,-0.5760111212730408,-0.6651899814605713,-0.20462988317012787,-0.667789876461029,-0.7443498373031616,-0.2383728325366974,-0.24876204133033752,-0.3643993139266968,-0.13593024015426636,-0.5182177424430847,-0.2806490361690521,-0.1879868507385254,-0.46677327156066895,-0.18889819085597992,-0.18373720347881317,-0.3741179406642914,-0.17848840355873108,-0.18743710219860077,-0.24923257529735565,-0.24188533425331116,-0.1715662181377411,-0.4878528416156769,-0.12459860742092133,-0.2099318504333496,-0.4147145450115204,-0.06950844079256058,-0.18448859453201294,-0.3233111500740051,-0.09553705900907516,-0.1761639267206192,-0.24885542690753937,-0.10832380503416061,-0.21110799908638,-0.4324958026409149,-0.006173701025545597,-0.24181221425533295,-0.372539222240448,0.02201690338551998,-0.22056737542152405,-0.2939063310623169,0.004415958188474178,-0.20620760321617126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.04523986577987671,-0.13979044556617737,-0.0034628701396286488,-0.1612360179424286,-0.2483159601688385,-0.0328497439622879,-0.3088373839855194,-0.26349538564682007,-0.07075119018554688,-0.42944827675819397,-0.227863147854805,-0.11479224264621735,-0.2329346090555191,-0.44959139823913574,-0.0888681411743164,-0.4070286452770233,-0.6166038513183594,-0.15416216850280762,-0.5129093527793884,-0.7145828604698181,-0.19750246405601501,-0.5953371524810791,-0.8034759163856506,-0.23571354150772095,-0.20802244544029236,-0.40849295258522034,-0.12734636664390564,-0.48639172315597534,-0.3400655686855316,-0.17917083203792572,-0.4497690200805664,-0.2203274369239807,-0.17639337480068207,-0.36245301365852356,-0.19307132065296173,-0.18023958802223206,-0.20196591317653656,-0.3107421100139618,-0.1659393608570099,-0.46433648467063904,-0.1959412544965744,-0.20174799859523773,-0.40841758251190186,-0.10720380395650864,-0.1708439141511917,-0.3202907145023346,-0.11098819971084595,-0.1605074256658554,-0.20497865974903107,-0.19346120953559875,-0.2083234339952469,-0.4013460874557495,-0.07656458020210266,-0.24173758924007416,-0.34852316975593567,-0.022948764264583588,-0.22136357426643372,-0.2650178372859955,-0.030585650354623795,-0.2067476212978363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.11102636158466339,-0.16993868350982666,0.018799439072608948,-0.27036893367767334,-0.26138919591903687,-0.016590852290391922,-0.4049622416496277,-0.21913743019104004,-0.06501076370477676,-0.5045864582061768,-0.131512850522995,-0.1265004277229309,-0.3292224407196045,-0.35058215260505676,-0.09126470983028412,-0.5163926482200623,-0.4857676327228546,-0.15819308161735535,-0.6367393136024475,-0.591684877872467,-0.20444875955581665,-0.7312454581260681,-0.6821144223213196,-0.24511678516864777,-0.33555513620376587,-0.27045655250549316,-0.14060015976428986,-0.5969361662864685,-0.17501024901866913,-0.19860181212425232,-0.5402555465698242,-0.08268219977617264,-0.18994760513305664,-0.4553511142730713,-0.0825730711221695,-0.18719230592250824,-0.3361680209636688,-0.14939400553703308,-0.18541666865348816,-0.5670592784881592,-0.02651451900601387,-0.2160833477973938,-0.49167943000793457,0.021105140447616577,-0.169855996966362,-0.4091712236404419,-0.008894767612218857,-0.1486847847700119,-0.3307769298553467,-0.014478567987680435,-0.23240967094898224,-0.4852469861507416,0.09855886548757553,-0.25917479395866394,-0.4215400815010071,0.12920640408992767,-0.22601966559886932,-0.3487916588783264,0.1004180908203125,-0.20169749855995178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.10060484707355499,-0.1787584275007248,0.014842603355646133,-0.2447977066040039,-0.2861112654209137,-0.012585284188389778,-0.373582124710083,-0.2730785310268402,-0.05034894496202469,-0.4732186198234558,-0.20589964091777802,-0.09960614889860153,-0.3084211051464081,-0.37086066603660583,-0.08320216834545135,-0.48320910334587097,-0.5303627848625183,-0.1460583209991455,-0.5933279991149902,-0.6396846771240234,-0.18817304074764252,-0.6810212135314941,-0.7322637438774109,-0.2243214249610901,-0.3231840431690216,-0.2930215001106262,-0.12597259879112244,-0.5792427659034729,-0.22104531526565552,-0.18340303003787994,-0.5260999202728271,-0.13705472648143768,-0.17612236738204956,-0.4415464997291565,-0.13248632848262787,-0.1736544817686081,-0.3337632417678833,-0.1765865832567215,-0.1651102900505066,-0.5563426613807678,-0.0794716626405716,-0.1980052888393402,-0.4866318106651306,-0.036504801362752914,-0.1570020616054535,-0.4060794711112976,-0.0618278905749321,-0.13682521879673004,-0.33935120701789856,-0.046214569360017776,-0.20598922669887543,-0.49650824069976807,0.039493221789598465,-0.2302253246307373,-0.4339795708656311,0.06630376726388931,-0.19893959164619446,-0.36170995235443115,0.043561238795518875,-0.17548181116580963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.05605154111981392,-0.179721862077713,-0.011997940018773079,-0.18304443359375,-0.29713213443756104,-0.04402124509215355,-0.3254091143608093,-0.3112545311450958,-0.08108392357826233,-0.4324705898761749,-0.26491570472717285,-0.12399084120988846,-0.2545574903488159,-0.43397629261016846,-0.10365572571754456,-0.4340728223323822,-0.587970495223999,-0.17608588933944702,-0.5408482551574707,-0.6889476776123047,-0.22281794250011444,-0.6260004043579102,-0.7798227667808533,-0.26192963123321533,-0.23786500096321106,-0.370464950799942,-0.13750523328781128,-0.5080984830856323,-0.2940157353878021,-0.194952592253685,-0.4675716757774353,-0.1894146353006363,-0.18951913714408875,-0.3833537697792053,-0.16866722702980042,-0.18913793563842773,-0.23057883977890015,-0.2571829855442047,-0.1720278114080429,-0.47372710704803467,-0.138069286942482,-0.21197722852230072,-0.4044616222381592,-0.07295022904872894,-0.17895764112472534,-0.3140619695186615,-0.08831434696912766,-0.16349640488624573,-0.22598282992839813,-0.12862680852413177,-0.21093876659870148,-0.40409889817237854,-0.016963666304945946,-0.24565918743610382,-0.34522634744644165,0.018975865095853806,-0.22277289628982544,-0.2641158699989319,0.002097476040944457,-0.2042689025402069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.11581194400787354,-0.1279151439666748,-0.004459114279597998,-0.25120723247528076,-0.22071266174316406,-0.04175642132759094,-0.4065271317958832,-0.2253827303647995,-0.09109148383140564,-0.5210464596748352,-0.1769087165594101,-0.1491352617740631,-0.2891334891319275,-0.4261428415775299,-0.06392039358615875,-0.4527748227119446,-0.5816586017608643,-0.12464004009962082,-0.556369960308075,-0.6817026138305664,-0.17084941267967224,-0.6371331214904785,-0.770753800868988,-0.21357698738574982,-0.2792035937309265,-0.3964562714099884,-0.10159439593553543,-0.5416895747184753,-0.31144803762435913,-0.16063742339611053,-0.5059540867805481,-0.19935399293899536,-0.16399292647838593,-0.42219194769859314,-0.18154069781303406,-0.17061570286750793,-0.2790660262107849,-0.30901259183883667,-0.14041751623153687,-0.5252557396888733,-0.19123902916908264,-0.18119101226329803,-0.4718228578567505,-0.10778670012950897,-0.1471824049949646,-0.3879225254058838,-0.11226514726877213,-0.13265052437782288,-0.2898176908493042,-0.1948895901441574,-0.18426527082920074,-0.47423654794692993,-0.0775076374411583,-0.21863240003585815,-0.42685890197753906,-0.019277606159448624,-0.19760751724243164,-0.3502724766731262,-0.027399715036153793,-0.18164348602294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.10326580703258514,-0.1835135817527771,0.015219439752399921,-0.24885250627994537,-0.2905648946762085,-0.015920065343379974,-0.37607696652412415,-0.27636441588401794,-0.05972970649600029,-0.4725916385650635,-0.20893040299415588,-0.11600404977798462,-0.3161475658416748,-0.37812474370002747,-0.08793991059064865,-0.5106669664382935,-0.5049592852592468,-0.15658093988895416,-0.6333452463150024,-0.5992678999900818,-0.20297661423683167,-0.7303701043128967,-0.683051586151123,-0.24445445835590363,-0.3073252737522125,-0.3038109540939331,-0.13570541143417358,-0.5652598738670349,-0.20873290300369263,-0.19445466995239258,-0.5092624425888062,-0.11473588645458221,-0.18733783066272736,-0.4212867319583893,-0.11743059009313583,-0.18795588612556458,-0.29704809188842773,-0.18354403972625732,-0.18045276403427124,-0.5323789119720459,-0.058274250477552414,-0.2158852219581604,-0.4606070816516876,-0.0047773029655218124,-0.17238929867744446,-0.3746950328350067,-0.03491957113146782,-0.15317118167877197,-0.28707119822502136,-0.050581034272909164,-0.2276960164308548,-0.4533611536026001,0.06741245836019516,-0.25685766339302063,-0.39509761333465576,0.09854951500892639,-0.22711288928985596,-0.3211701810359955,0.0695350170135498,-0.2064763307571411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.06994157284498215,-0.18404987454414368,-0.006872656289488077,-0.21452325582504272,-0.2874433696269989,-0.041787371039390564,-0.360533207654953,-0.28964513540267944,-0.08205629885196686,-0.4593857526779175,-0.24243314564228058,-0.1292608231306076,-0.28977522253990173,-0.3989529311656952,-0.11038895696401596,-0.4921075701713562,-0.5273845195770264,-0.18801593780517578,-0.6149575710296631,-0.6172523498535156,-0.23692746460437775,-0.7127180099487305,-0.7014506459236145,-0.27859067916870117,-0.2673625349998474,-0.32842403650283813,-0.1482902467250824,-0.5420020222663879,-0.23056791722774506,-0.2074567824602127,-0.4880167841911316,-0.12843817472457886,-0.19817966222763062,-0.39845526218414307,-0.12575392425060272,-0.19643497467041016,-0.25142139196395874,-0.21105551719665527,-0.1863127052783966,-0.4958406388759613,-0.07467988133430481,-0.22785624861717224,-0.4213063716888428,-0.014746453613042831,-0.18797478079795837,-0.3315785825252533,-0.04550514370203018,-0.16901111602783203,-0.23565785586833954,-0.08283352106809616,-0.2282470315694809,-0.41249582171440125,0.04418089985847473,-0.26759251952171326,-0.35006147623062134,0.07457481324672699,-0.2431894689798355,-0.270493745803833,0.04287150129675865,-0.2237483412027359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.08408111333847046,-0.1824267953634262,0.010949954390525818,-0.21972860395908356,-0.30198726058006287,-0.021919142454862595,-0.3533886671066284,-0.300510436296463,-0.06548379361629486,-0.45900630950927734,-0.24286291003227234,-0.12023437023162842,-0.2840236723423004,-0.40778809785842896,-0.0915132388472557,-0.46603742241859436,-0.5495873093605042,-0.16128812730312347,-0.580339252948761,-0.6513423323631287,-0.20961903035640717,-0.6717459559440613,-0.7407816052436829,-0.253120094537735,-0.2752288579940796,-0.34137389063835144,-0.137516587972641,-0.5441807508468628,-0.26232895255088806,-0.1949360966682434,-0.4944239854812622,-0.15911829471588135,-0.18735367059707642,-0.407206654548645,-0.155506432056427,-0.18863239884376526,-0.2719861567020416,-0.22686384618282318,-0.18142569065093994,-0.524411678314209,-0.11825161427259445,-0.21628592908382416,-0.4545340836048126,-0.05261161923408508,-0.17167262732982635,-0.3654279410839081,-0.07445723563432693,-0.15294808149337769,-0.2725121080875397,-0.0970507487654686,-0.22830259799957275,-0.4591261148452759,0.009138914756476879,-0.26095736026763916,-0.39713481068611145,0.04998176544904709,-0.23220497369766235,-0.31614285707473755,0.026866130530834198,-0.21222706139087677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
