f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,label
0.0,0.0,0.0,-0.16338155,-0.088413194,-0.02723208,-0.31508654,-0.16270003,-0.08757795,-0.4695039,-0.16424392,-0.1555898,-0.55339813,-0.12868564,-0.2300817,-0.27959278,-0.43919677,-0.099692404,-0.43812424,-0.5927382,-0.17299344,-0.53682894,-0.6982332,-0.22859149,-0.6134982,-0.7896961,-0.27910593,-0.24105048,-0.4150909,-0.13073806,-0.5112062,-0.3231097,-0.18726861,-0.47075865,-0.20457616,-0.18585421,-0.3858491,-0.19622654,-0.19147828,-0.22276767,-0.32563224,-0.16532224,-0.47809687,-0.1876671,-0.19762853,-0.4165801,-0.10901467,-0.15926343,-0.3291275,-0.12277791,-0.14616057,-0.22792463,-0.2072881,-0.2079153,-0.42290983,-0.07864535,-0.24278855,-0.3746561,-0.023606298,-0.22548701,-0.29554033,-0.03766553,-0.21335769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.055635557,-0.20652837,-0.012255803,-0.18620619,-0.3358497,-0.0377981,-0.32598165,-0.35001028,-0.06664346,-0.43017775,-0.307526,-0.101103045,-0.25837395,-0.44273522,-0.10161373,-0.45886952,-0.58131146,-0.16618432,-0.5764324,-0.6643438,-0.20586397,-0.66819096,-0.7439898,-0.23974535,-0.24948497,-0.3632933,-0.13655193,-0.5185956,-0.27972826,-0.18931107,-0.4665947,-0.18841422,-0.18522148,-0.3737888,-0.17877632,-0.1889238,-0.24960175,-0.24053466,-0.1721794,-0.4880374,-0.12334281,-0.21107453,-0.4143882,-0.06895283,-0.18558389,-0.3228439,-0.09540587,-0.1771196,-0.24897422,-0.106822625,-0.21179003,-0.4329479,-0.0049784784,-0.24281572,-0.37284955,0.022852136,-0.22157647,-0.29416102,0.0051391027,-0.20718557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.049614817,-0.14837508,-0.00094145146,-0.16925408,-0.25953937,-0.031199457,-0.31859756,-0.2748495,-0.07081508,-0.4373735,-0.23473445,-0.117197126,-0.24026708,-0.44835812,-0.08820203,-0.41022283,-0.61447746,-0.15356961,-0.51484966,-0.7126925,-0.1965771,-0.5969519,-0.802277,-0.23481931,-0.21467848,-0.4044499,-0.12835416,-0.49154022,-0.33445668,-0.18219711,-0.45517585,-0.21652699,-0.17964847,-0.36807626,-0.19173938,-0.18345402,-0.2062361,-0.3038551,-0.16820763,-0.46741822,-0.19144607,-0.20546505,-0.41264123,-0.10435999,-0.17391723,-0.3241589,-0.10917776,-0.16266628,-0.20734638,-0.18479632,-0.21150671,-0.40559644,-0.072152086,-0.24509959,-0.354671,-0.019795947,-0.22409436,-0.2706614,-0.028820902,-0.20895392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.11123393,-0.17044766,0.019049505,-0.27039355,-0.26221302,-0.016324611,-0.40459454,-0.22015782,-0.0647919,-0.50384134,-0.13263336,-0.12644617,-0.3304144,-0.3509364,-0.091058165,-0.51707596,-0.48596743,-0.15778269,-0.6367191,-0.5921682,-0.20398474,-0.7305433,-0.6828663,-0.24465337,-0.33616388,-0.27057958,-0.1405502,-0.59728533,-0.17489283,-0.19839701,-0.5401408,-0.08264357,-0.18966506,-0.4550779,-0.08253516,-0.18688637,-0.33627927,-0.14905173,-0.18548928,-0.56721336,-0.026596703,-0.21626903,-0.49164006,0.021008333,-0.16987535,-0.40907174,-0.008802484,-0.14852591,-0.33055502,-0.013566303,-0.23255171,-0.48529854,0.09848832,-0.25942934,-0.42128494,0.12896453,-0.22606279,-0.34845012,0.10036228,-0.20156208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.101265915,-0.17740181,0.014302205,-0.24556006,-0.28471348,-0.012797626,-0.37426353,-0.2732441,-0.04974001,-0.47433403,-0.2077055,-0.09807696,-0.30950448,-0.3701605,-0.084748514,-0.48430422,-0.5291373,-0.14774725,-0.59385604,-0.6388256,-0.19012262,-0.6816166,-0.7317094,-0.2264665,-0.32441792,-0.2924297,-0.1267608,-0.58231837,-0.218499,-0.18349259,-0.5286637,-0.13512485,-0.17618465,-0.44393814,-0.13081963,-0.17413913,-0.33523902,-0.17611495,-0.16507979,-0.5592762,-0.078953065,-0.19809765,-0.4884529,-0.035668805,-0.15709488,-0.40705737,-0.060309935,-0.13702027,-0.34072852,-0.045893826,-0.20509705,-0.498351,0.039975062,-0.23035443,-0.4353757,0.06694924,-0.1996131,-0.36302558,0.044728994,-0.17636889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.05756333,-0.17994097,-0.011764806,-0.1839209,-0.29765567,-0.043060075,-0.3255905,-0.31326059,-0.079257436,-0.43214083,-0.26842794,-0.120970026,-0.25729132,-0.43323585,-0.10270278,-0.43554324,-0.5869942,-0.1762217,-0.5420399,-0.68757874,-0.2235611,-0.6274512,-0.7786558,-0.26296857,-0.23983371,-0.3698954,-0.13664308,-0.51150185,-0.29404855,-0.19484808,-0.47044206,-0.18907468,-0.18938531,-0.38609278,-0.1696237,-0.18892117,-0.23196806,-0.25721627,-0.1714797,-0.47632605,-0.13841677,-0.21255554,-0.40714025,-0.07274503,-0.17919393,-0.31687477,-0.08915749,-0.16322026,-0.226751,-0.12916492,-0.21067141,-0.4068182,-0.017716812,-0.24601114,-0.3483419,0.018495182,-0.2230033,-0.26797357,0.0009661052,-0.20432886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.11974505,-0.12464776,-0.004032337,-0.25571948,-0.21580255,-0.041875973,-0.41232905,-0.21901436,-0.09191497,-0.52537036,-0.16893479,-0.15078181,-0.29057953,-0.42583498,-0.062865786,-0.45377395,-0.5806811,-0.12322708,-0.55703527,-0.6811252,-0.1696254,-0.6374619,-0.7704818,-0.21261087,-0.280431,-0.39715245,-0.100480124,-0.5428715,-0.31171992,-0.15863842,-0.5069345,-0.19962643,-0.16171716,-0.42344147,-0.18240538,-0.16825542,-0.28001365,-0.31000924,-0.13918255,-0.52669996,-0.19235699,-0.1789865,-0.47370026,-0.10881044,-0.1447176,-0.39035475,-0.11341068,-0.13016449,-0.29111817,-0.1955725,-0.1828963,-0.47524396,-0.07758714,-0.21648754,-0.4278819,-0.018922795,-0.1952212,-0.35147282,-0.027240187,-0.17916481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.10699623,-0.18120061,0.014525592,-0.25448745,-0.2879565,-0.017049322,-0.3811573,-0.26960912,-0.060831714,-0.4775853,-0.19682422,-0.11735331,-0.3178232,-0.37181765,-0.09041011,-0.51197654,-0.50049436,-0.15896633,-0.6355572,-0.594686,-0.20643137,-0.73421925,-0.6789124,-0.24886678,-0.30977884,-0.2975966,-0.13743123,-0.5674407,-0.20327032,-0.19483534,-0.51138854,-0.110969536,-0.18809633,-0.42417645,-0.11462062,-0.18968278,-0.3015248,-0.17839843,-0.18117547,-0.5351915,-0.054089867,-0.2138413,-0.46349213,-0.0019252701,-0.17021206,-0.37802747,-0.031574327,-0.1517989,-0.2941465,-0.046243846,-0.22768284,-0.45624053,0.069767326,-0.2550854,-0.39567634,0.100179136,-0.22522695,-0.32072073,0.071956374,-0.2048617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.070923984,-0.1852937,-0.006847751,-0.21621467,-0.28856683,-0.041220978,-0.36167398,-0.28992704,-0.08096057,-0.45987332,-0.24160658,-0.12760352,-0.2903137,-0.39900392,-0.10981403,-0.49257162,-0.5266298,-0.18712796,-0.61505616,-0.61663306,-0.23611176,-0.713193,-0.7009676,-0.27802196,-0.26834375,-0.32708302,-0.14794144,-0.5434909,-0.22876866,-0.20719826,-0.48791608,-0.12740676,-0.19845395,-0.3973678,-0.12553793,-0.19727117,-0.25219977,-0.20898326,-0.1861516,-0.49624738,-0.07282435,-0.22801057,-0.420186,-0.013978393,-0.18837649,-0.33001927,-0.045534387,-0.16962084,-0.23604152,-0.08011747,-0.22828047,-0.4125359,0.045903265,-0.26778024,-0.349053,0.07553086,-0.24318679,-0.2692102,0.04341633,-0.22369497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
0.0,0.0,0.0,-0.08401172,-0.18225011,0.010700077,-0.21950309,-0.30187836,-0.022154791,-0.35298732,-0.30048528,-0.06568651,-0.45856678,-0.24275717,-0.12033433,-0.2842954,-0.40800002,-0.09129507,-0.46653658,-0.5495542,-0.161019,-0.58078516,-0.65110445,-0.20924273,-0.6721208,-0.74044144,-0.2526317,-0.2757442,-0.3416708,-0.13726108,-0.5445937,-0.26221383,-0.1948709,-0.49433324,-0.15910642,-0.18749078,-0.40701506,-0.15571226,-0.18878867,-0.2726229,-0.2273352,-0.18117742,-0.5247851,-0.1182181,-0.2163927,-0.45417073,-0.052676946,-0.17207551,-0.36493063,-0.074719995,-0.15341523,-0.27320808,-0.09770318,-0.2280785,-0.4590988,0.008844592,-0.26098228,-0.39649317,0.049655154,-0.2324442,-0.3154224,0.026433544,-0.21253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I
