label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126
A,0.0,0.0,0.0,0.11936710774898529,-0.2381763607263565,-0.040301963686943054,0.1712697148323059,-0.563629686832428,-0.050767216831445694,0.18954962491989136,-0.8140851855278015,-0.06608966737985611,0.18725304305553436,-1.0,-0.07467810809612274,0.015184678137302399,-0.7288753986358643,-0.012503648176789284,-0.0016644468996673822,-0.9032267928123474,-0.09126914292573929,0.024789143353700638,-0.6855694651603699,-0.13692238926887512,0.03962529078125954,-0.5005185604095459,-0.15246856212615967,-0.07744863629341125,-0.6562225222587585,-0.021566368639469147,-0.10352075845003128,-0.820447564125061,-0.10947103053331375,-0.046831484884023666,-0.5726237297058105,-0.13518479466438293,-0.006314569618552923,-0.39218252897262573,-0.1330283135175705,-0.16144391894340515,-0.5571897625923157,-0.043338652700185776,-0.18532326817512512,-0.6975260972976685,-0.1267000138759613,-0.11367405205965042,-0.49021202325820923,-0.11719786375761032,-0.07043179869651794,-0.339980810880661,-0.0889967754483223,-0.24201679229736328,-0.43640992045402527,-0.06894849240779877,-0.26317185163497925,-0.5692909955978394,-0.12036080658435822,-0.19825364649295807,-0.4371982514858246,-0.10655587166547775,-0.15017329156398773,-0.31962162256240845,-0.08281083405017853,0.0,0.0,0.0,-0.15125122666358948,-0.2275533676147461,-0.07992395013570786,-0.2563035786151886,-0.515349268913269,-0.12880410254001617,-0.2991347908973694,-0.8027944564819336,-0.1722177416086197,-0.33997395634651184,-1.0,-0.1987173706293106,-0.09352049976587296,-0.7660886645317078,-0.06923054158687592,-0.07725358009338379,-0.929175078868866,-0.14127835631370544,-0.09062689542770386,-0.687227189540863,-0.16770921647548676,-0.10571392625570297,-0.5241518020629883,-0.1758023351430893,0.024797165766358376,-0.7313711047172546,-0.06239207088947296,0.03059426136314869,-0.8935016989707947,-0.1523146629333496,-0.004165250342339277,-0.5867961049079895,-0.17195379734039307,-0.020961767062544823,-0.44577741622924805,-0.1704443246126175,0.12902206182479858,-0.6570435166358948,-0.06506124138832092,0.14074447751045227,-0.8115257024765015,-0.14809828996658325,0.08515658974647522,-0.5420199036598206,-0.11743864417076111,0.0474606528878212,-0.39909878373146057,-0.08055824786424637,0.2151472568511963,-0.5457789301872253,-0.07489608228206635,0.238834410905838,-0.7051308155059814,-0.12799783051013947,0.1777828186750412,-0.5380353331565857,-0.09982068836688995,0.13363902270793915,-0.4399113655090332,-0.0674821212887764
A,0.0,0.0,0.0,0.12428921461105347,-0.2586979568004608,-0.04397488012909889,0.17420285940170288,-0.5648741126060486,-0.05732540041208267,0.189689040184021,-0.8168709874153137,-0.07277484238147736,0.20190726220607758,-1.0,-0.07867875695228577,0.019521625712513924,-0.7237077355384827,-0.026292504742741585,-0.00039346388075500727,-0.8981705904006958,-0.09929782897233963,0.0350147970020771,-0.6768215894699097,-0.1342155784368515,0.0479208342730999,-0.5005195736885071,-0.14381994307041168,-0.07352126389741898,-0.6518706679344177,-0.032210804522037506,-0.10332054644823074,-0.8146380186080933,-0.11966008692979813,-0.03767279163002968,-0.5638324022293091,-0.14141613245010376,0.0009861981961876154,-0.39698147773742676,-0.13903340697288513,-0.15513530373573303,-0.5560725927352905,-0.049056533724069595,-0.18009762465953827,-0.6938313841819763,-0.13369633257389069,-0.10444191843271255,-0.4811945855617523,-0.12034982442855835,-0.06480804830789566,-0.3383887708187103,-0.09084489196538925,-0.2350260317325592,-0.4414963126182556,-0.06961198151111603,-0.2491583675146103,-0.5593774318695068,-0.12482757866382599,-0.1822068840265274,-0.42117875814437866,-0.11093254387378693,-0.13939759135246277,-0.3117903172969818,-0.08725369721651077,0.0,0.0,0.0,-0.148003950715065,-0.2295268028974533,-0.07357737421989441,-0.24588711559772491,-0.5318164825439453,-0.11614207923412323,-0.29036906361579895,-0.8067964315414429,-0.1559533178806305,-0.3332366943359375,-1.0,-0.17956818640232086,-0.09377535432577133,-0.7778317928314209,-0.05676160752773285,-0.07607284188270569,-0.9401958584785461,-0.1281178593635559,-0.08705615252256393,-0.6947848200798035,-0.15445616841316223,-0.10162100940942764,-0.5264545679092407,-0.16155965626239777,0.024120086804032326,-0.7399455904960632,-0.05389177054166794,0.03515651449561119,-0.8976682424545288,-0.14239653944969177,0.00024335597117897123,-0.599403440952301,-0.16005775332450867,-0.022167623043060303,-0.45284581184387207,-0.1556512862443924,0.12831972539424896,-0.6661198139190674,-0.061475273221731186,0.1416928470134735,-0.8165014982223511,-0.1431955099105835,0.0873715803027153,-0.548662543296814,-0.11361062526702881,0.04828299582004547,-0.40220892429351807,-0.0759800523519516,0.21851962804794312,-0.5566846132278442,-0.07609428465366364,0.23963169753551483,-0.7010343670845032,-0.12511026859283447,0.1822626292705536,-0.5422971248626709,-0.09748344123363495,0.138246551156044,-0.4505610764026642,-0.0657930076122284
A,0.0,0.0,0.0,0.12120670080184937,-0.25819504261016846,-0.04430151730775833,0.17211908102035522,-0.5637187957763672,-0.058391619473695755,0.1868647187948227,-0.810810923576355,-0.07575847953557968,0.19347816705703735,-1.0,-0.08520673960447311,0.02062533050775528,-0.7231566905975342,-0.01577535830438137,-0.0038650415372103453,-0.8957932591438293,-0.09458541870117188,0.025454476475715637,-0.683495283126831,-0.1398051381111145,0.04166138544678688,-0.5039684176445007,-0.15523609519004822,-0.0711003914475441,-0.6508564949035645,-0.021751122549176216,-0.09993229806423187,-0.8033260107040405,-0.11092941462993622,-0.041587717831134796,-0.5642813444137573,-0.1376943588256836,-0.0012460937723517418,-0.3915431797504425,-0.13767357170581818,-0.15337738394737244,-0.5598462820053101,-0.040409959852695465,-0.17488329112529755,-0.6869121789932251,-0.12695051729679108,-0.1064552515745163,-0.4826584756374359,-0.11855437606573105,-0.06530766189098358,-0.3369649350643158,-0.09112982451915741,-0.23358216881752014,-0.45129355788230896,-0.06317206472158432,-0.24494850635528564,-0.5622937679290771,-0.11975648254156113,-0.18352749943733215,-0.4218234717845917,-0.10848399996757507,-0.14020679891109467,-0.3071213364601135,-0.08556357026100159,0.0,0.0,0.0,-0.15089671313762665,-0.23306144773960114,-0.076835997402668,-0.2515394687652588,-0.5207337737083435,-0.12470836937427521,-0.29479169845581055,-0.8050944805145264,-0.16843339800834656,-0.3445097804069519,-1.0,-0.19616080820560455,-0.09667760878801346,-0.7604691386222839,-0.06590176373720169,-0.07911214232444763,-0.9175105690956116,-0.13706400990486145,-0.09212645143270493,-0.6769773364067078,-0.16347163915634155,-0.10722162574529648,-0.515918493270874,-0.17213188111782074,0.022366346791386604,-0.7289007902145386,-0.061744850128889084,0.030183613300323486,-0.8861375451087952,-0.15255267918109894,-0.0054917908273637295,-0.5832165479660034,-0.17217062413692474,-0.024928780272603035,-0.4399673342704773,-0.17075206339359283,0.12690973281860352,-0.6585820317268372,-0.0669473335146904,0.13937005400657654,-0.8089016675949097,-0.15068645775318146,0.08292991667985916,-0.5379262566566467,-0.11904831230640411,0.04324178770184517,-0.3913142681121826,-0.08156172186136246,0.2127622663974762,-0.5516913533210754,-0.07941298186779022,0.23186621069908142,-0.6951159238815308,-0.13320617377758026,0.17128732800483704,-0.5272895097732544,-0.1053902804851532,0.12715689837932587,-0.43066680431365967,-0.0736355409026146
A,0.0,0.0,0.0,0.13077160716056824,-0.25851795077323914,-0.0443221852183342,0.1800287663936615,-0.5726134777069092,-0.05746812745928764,0.1890394240617752,-0.81756991147995,-0.07280812412500381,0.19414643943309784,-1.0,-0.07915610820055008,0.026871340349316597,-0.7269197106361389,-0.027621107175946236,0.0035123710986226797,-0.8904405236244202,-0.10164698213338852,0.040780019015073776,-0.674665629863739,-0.13869944214820862,0.056505851447582245,-0.502647340297699,-0.15000824630260468,-0.06539075821638107,-0.6527581214904785,-0.033750973641872406,-0.09251482039690018,-0.8032374978065491,-0.12221627682447433,-0.027339451014995575,-0.5649847388267517,-0.14519284665584564,0.010228374972939491,-0.3924233317375183,-0.14377237856388092,-0.1485489457845688,-0.5628153085708618,-0.05144360661506653,-0.16498106718063354,-0.6836873888969421,-0.13737311959266663,-0.09135187417268753,-0.48093581199645996,-0.12856878340244293,-0.051506731659173965,-0.3351978063583374,-0.1020209863781929,-0.22915709018707275,-0.4563865661621094,-0.07320840656757355,-0.2296656370162964,-0.5503973960876465,-0.1303432583808899,-0.16776300966739655,-0.4151146113872528,-0.1218239963054657,-0.12981826066970825,-0.3059387505054474,-0.10214865952730179,0.0,0.0,0.0,-0.15128719806671143,-0.23076163232326508,-0.0811234712600708,-0.2575885057449341,-0.5108389854431152,-0.12984496355056763,-0.3037683367729187,-0.8021434545516968,-0.1740534007549286,-0.3480416536331177,-1.0,-0.2002759575843811,-0.09670373797416687,-0.7698726654052734,-0.0634969174861908,-0.08388978242874146,-0.9256734848022461,-0.13596944510936737,-0.0983063280582428,-0.6766601800918579,-0.15952321887016296,-0.10918252915143967,-0.522278368473053,-0.16608074307441711,0.022174330428242683,-0.7345871329307556,-0.05711570382118225,0.025535548105835915,-0.8905795812606812,-0.15485785901546478,-0.010528672486543655,-0.5796411037445068,-0.17439377307891846,-0.026120278984308243,-0.44536092877388,-0.17150619626045227,0.12625613808631897,-0.6627504825592041,-0.060669541358947754,0.13522933423519135,-0.8092498183250427,-0.15007427334785461,0.08006302267313004,-0.5330080986022949,-0.11479556560516357,0.04439297690987587,-0.39344900846481323,-0.07307246327400208,0.2151041328907013,-0.5527223348617554,-0.07163131982088089,0.23034214973449707,-0.7002212405204773,-0.12421475350856781,0.17333650588989258,-0.5273521542549133,-0.09268154203891754,0.13394582271575928,-0.4379105567932129,-0.058012355118989944
A,0.0,0.0,0.0,0.117771677672863,-0.23972836136817932,-0.039074305444955826,0.1721913367509842,-0.5631469488143921,-0.04828772321343422,0.18651261925697327,-0.8117072582244873,-0.06221828609704971,0.1798446625471115,-1.0,-0.06905939429998398,0.017014753073453903,-0.7225790023803711,-0.007566662970930338,-0.0035494924522936344,-0.8921944499015808,-0.08526626974344254,0.02363744005560875,-0.6803886294364929,-0.1313675194978714,0.04063273221254349,-0.5009322762489319,-0.14779257774353027,-0.07345572859048843,-0.646705687046051,-0.016867419704794884,-0.10117931663990021,-0.8031956553459167,-0.1035255715250969,-0.042863015085458755,-0.5648084282875061,-0.1301203817129135,-0.0009811080526560545,-0.3927534222602844,-0.12944336235523224,-0.15558086335659027,-0.5475842356681824,-0.0390116348862648,-0.17670008540153503,-0.6790944337844849,-0.12405963242053986,-0.10337837785482407,-0.4751269519329071,-0.11730223894119263,-0.06047249212861061,-0.3301461935043335,-0.09107089787721634,-0.2345624566078186,-0.42818519473075867,-0.06468231976032257,-0.2468397319316864,-0.5472858548164368,-0.119261734187603,-0.18303638696670532,-0.4109005928039551,-0.10814356803894043,-0.1390252411365509,-0.29635655879974365,-0.08604300767183304,0.0,0.0,0.0,-0.14997677505016327,-0.23335114121437073,-0.07468890398740768,-0.24913573265075684,-0.5202207565307617,-0.12149792909622192,-0.29235145449638367,-0.8056654334068298,-0.16446523368358612,-0.34346798062324524,-1.0,-0.19161531329154968,-0.08690273016691208,-0.7636957168579102,-0.062001366168260574,-0.07277395576238632,-0.9156311750411987,-0.13294948637485504,-0.08649417012929916,-0.6745933890342712,-0.16053366661071777,-0.09857713431119919,-0.5153830051422119,-0.17037582397460938,0.031157847493886948,-0.7298873662948608,-0.058597709983587265,0.03614344820380211,-0.8845008611679077,-0.15094926953315735,-0.0011262600310146809,-0.5789223909378052,-0.17258602380752563,-0.018491894006729126,-0.43544328212738037,-0.17207488417625427,0.1348673701286316,-0.6570937633514404,-0.06398274749517441,0.1458117663860321,-0.8062378764152527,-0.1491508185863495,0.08663538843393326,-0.533088207244873,-0.11686002463102341,0.048350442200899124,-0.3876512050628662,-0.07821261882781982,0.22123844921588898,-0.5467013716697693,-0.07618030905723572,0.24024666845798492,-0.6945980787277222,-0.1288263201713562,0.1767406016588211,-0.5227588415145874,-0.09798810631036758,0.13296139240264893,-0.42715984582901,-0.06378614902496338
A,0.0,0.0,0.0,0.1235431432723999,-0.2294604480266571,-0.045475710183382034,0.1719372570514679,-0.5468789935112,-0.057137709110975266,0.18198111653327942,-0.8009026050567627,-0.07228464633226395,0.1801542490720749,-1.0,-0.07965178787708282,0.02093997597694397,-0.7100936770439148,-0.007961468771100044,-0.0011041297111660242,-0.875281810760498,-0.0907086506485939,0.026873383671045303,-0.6602011919021606,-0.1398155242204666,0.0468265563249588,-0.47814658284187317,-0.15724708139896393,-0.06833376735448837,-0.6368852853775024,-0.014728449285030365,-0.09626628458499908,-0.7957742810249329,-0.10617385804653168,-0.0387699156999588,-0.5581649541854858,-0.134745255112648,0.004120364785194397,-0.3844468295574188,-0.13413682579994202,-0.1509326845407486,-0.5452737808227539,-0.03569914028048515,-0.17186017334461212,-0.6773176789283752,-0.12703393399715424,-0.10193511843681335,-0.47068968415260315,-0.12085552513599396,-0.05837884917855263,-0.3248760402202606,-0.09279578179121017,-0.23068273067474365,-0.4342252314090729,-0.06067212298512459,-0.24002593755722046,-0.5469041466712952,-0.1211605817079544,-0.17949827015399933,-0.402046263217926,-0.11152827739715576,-0.1367986798286438,-0.28577592968940735,-0.08872305601835251,0.0,0.0,0.0,-0.15071940422058105,-0.23596163094043732,-0.07527156919240952,-0.25000542402267456,-0.52850341796875,-0.12143883109092712,-0.2924753427505493,-0.8112174868583679,-0.1629357486963272,-0.3409220576286316,-1.0,-0.18907341361045837,-0.09315988421440125,-0.7646245360374451,-0.06661707162857056,-0.07854926586151123,-0.9107102155685425,-0.13503152132034302,-0.08917635679244995,-0.67220538854599,-0.16020555794239044,-0.1020103394985199,-0.5100356936454773,-0.16888244450092316,0.02527475729584694,-0.728344202041626,-0.06315933167934418,0.030956003814935684,-0.8764917850494385,-0.15369132161140442,-0.0011665801284834743,-0.5699588060379028,-0.17380908131599426,-0.018308673053979874,-0.4227258563041687,-0.1729101985692978,0.12857680022716522,-0.6543530821800232,-0.0681036040186882,0.1407902091741562,-0.7913945317268372,-0.15130703151226044,0.08455372601747513,-0.5184687972068787,-0.11937082558870316,0.045535050332546234,-0.37846168875694275,-0.0819539725780487,0.21260350942611694,-0.544221043586731,-0.08008218556642532,0.23253852128982544,-0.6784303784370422,-0.13188938796520233,0.1699114739894867,-0.5082616806030273,-0.10149897634983063,0.12505647540092468,-0.42009568214416504,-0.06838057935237885
A,0.0,0.0,0.0,0.12595868110656738,-0.2599947154521942,-0.04201911389827728,0.1698063462972641,-0.5656694769859314,-0.0559084452688694,0.17200258374214172,-0.8175641298294067,-0.07227872312068939,0.17917144298553467,-1.0,-0.08020228892564774,0.02839164435863495,-0.7067506909370422,-0.02787655219435692,0.0028151830192655325,-0.8640416264533997,-0.09588442742824554,0.03945378586649895,-0.6610735654830933,-0.12845616042613983,0.05288578197360039,-0.4943980276584625,-0.13805066049098969,-0.060214608907699585,-0.6347097158432007,-0.03501054272055626,-0.08956661075353622,-0.7920356392860413,-0.11880580335855484,-0.025622498244047165,-0.5639891624450684,-0.1423713117837906,0.006975371390581131,-0.3894107937812805,-0.1425010859966278,-0.1394967883825302,-0.5435914993286133,-0.05225535109639168,-0.16263769567012787,-0.6788288354873657,-0.1320917308330536,-0.08721671253442764,-0.48685696721076965,-0.1251639574766159,-0.048995498567819595,-0.33584678173065186,-0.10151824355125427,-0.21875059604644775,-0.4332219362258911,-0.07329518347978592,-0.22651000320911407,-0.5516865849494934,-0.12718255817890167,-0.1625848412513733,-0.4318481683731079,-0.12009085714817047,-0.12278352677822113,-0.31820976734161377,-0.10243800282478333,0.0,0.0,0.0,-0.14655381441116333,-0.23934264481067657,-0.0753064975142479,-0.2423432320356369,-0.5274365544319153,-0.12155678123235703,-0.28423792123794556,-0.8083467483520508,-0.1642116755247116,-0.3335285484790802,-1.0,-0.19080135226249695,-0.08062370121479034,-0.767823338508606,-0.06013691425323486,-0.06723969429731369,-0.922892153263092,-0.1321365088224411,-0.08375012129545212,-0.6794465780258179,-0.15958885848522186,-0.09714515507221222,-0.5207531452178955,-0.16877877712249756,0.035705696791410446,-0.7303074598312378,-0.056258585304021835,0.041068945080041885,-0.8889521956443787,-0.14884363114833832,0.00043055706191807985,-0.5877718329429626,-0.16849638521671295,-0.018579857423901558,-0.4485224187374115,-0.1662130504846573,0.13664020597934723,-0.6546155214309692,-0.062128372490406036,0.14748060703277588,-0.8066211938858032,-0.14649316668510437,0.08774959295988083,-0.5401310920715332,-0.11391682922840118,0.049723945558071136,-0.3963507413864136,-0.07492892444133759,0.2219148427248001,-0.5416674017906189,-0.07519374042749405,0.24011282622814178,-0.6900039911270142,-0.1264827400445938,0.1768808811903,-0.5276113748550415,-0.0970989391207695,0.13310803472995758,-0.43588149547576904,-0.06424078345298767
A,0.0,0.0,0.0,0.1347295343875885,-0.25270888209342957,-0.046341653913259506,0.17985069751739502,-0.5611873269081116,-0.06042008846998215,0.17921186983585358,-0.8198838829994202,-0.07582017779350281,0.18828678131103516,-1.0,-0.08169931918382645,0.034394770860672,-0.7157777547836304,-0.027760453522205353,0.01990555040538311,-0.8709611296653748,-0.09647547453641891,0.05226823315024376,-0.6564355492591858,-0.1286114901304245,0.05976090207695961,-0.48065218329429626,-0.1376630663871765,-0.05960540845990181,-0.6468144655227661,-0.032045409083366394,-0.08334280550479889,-0.8009069561958313,-0.11727137118577957,-0.02006632275879383,-0.5663905143737793,-0.14063403010368347,0.014019995927810669,-0.389206200838089,-0.14012792706489563,-0.14153780043125153,-0.5564135313034058,-0.04708043858408928,-0.15870463848114014,-0.6825049519538879,-0.1292354166507721,-0.0861193835735321,-0.48528584837913513,-0.12160182744264603,-0.04814092442393303,-0.337802916765213,-0.09682344645261765,-0.2192147970199585,-0.4486808776855469,-0.06617218255996704,-0.22177253663539886,-0.5462385416030884,-0.11982977390289307,-0.16143126785755157,-0.41928526759147644,-0.11186212301254272,-0.12336238473653793,-0.3125332295894623,-0.09366585314273834,0.0,0.0,0.0,-0.1484847068786621,-0.23054610192775726,-0.08608390390872955,-0.2509763836860657,-0.509207010269165,-0.13872286677360535,-0.2939792275428772,-0.801770031452179,-0.18565216660499573,-0.3400668501853943,-1.0,-0.21491006016731262,-0.08967463672161102,-0.7658447623252869,-0.07055944204330444,-0.0738339051604271,-0.9111385941505432,-0.14566685259342194,-0.0891091451048851,-0.6671879887580872,-0.17248232662677765,-0.10103203356266022,-0.5148962140083313,-0.18140771985054016,0.028889119625091553,-0.7301247715950012,-0.06301231682300568,0.037593211978673935,-0.8777023553848267,-0.1616818904876709,-0.002340814797207713,-0.5735469460487366,-0.1826486587524414,-0.020377853885293007,-0.44388917088508606,-0.18184423446655273,0.1296706646680832,-0.6559157371520996,-0.0655658096075058,0.14698243141174316,-0.7916256785392761,-0.15712040662765503,0.08512246608734131,-0.5235748887062073,-0.12196142971515656,0.043295957148075104,-0.38901883363723755,-0.08089716732501984,0.21217584609985352,-0.5441951155662537,-0.07611139863729477,0.23763920366764069,-0.6741945743560791,-0.13252098858356476,0.17330531775951385,-0.5026313066482544,-0.10159823298454285,0.1258929967880249,-0.41538000106811523,-0.06740102171897888
A,0.0,0.0,0.0,0.1264168918132782,-0.26492899656295776,-0.04578793793916702,0.16811369359493256,-0.5670958161354065,-0.06284685432910919,0.17047283053398132,-0.8183082938194275,-0.08177493512630463,0.18032296001911163,-1.0,-0.09159252792596817,0.0230809785425663,-0.7184607982635498,-0.031056448817253113,0.004413066431879997,-0.8722827434539795,-0.09965696185827255,0.04163343831896782,-0.6618047952651978,-0.13190528750419617,0.053799767047166824,-0.4889586269855499,-0.14113426208496094,-0.06711821258068085,-0.6429529190063477,-0.036452680826187134,-0.09166549146175385,-0.7889989018440247,-0.12047692388296127,-0.025400299578905106,-0.5602680444717407,-0.14375527203083038,0.009170481003820896,-0.3877207934856415,-0.14426738023757935,-0.14657121896743774,-0.5480337738990784,-0.052175477147102356,-0.1661139726638794,-0.6772599220275879,-0.13273026049137115,-0.0902402251958847,-0.4862143099308014,-0.12444822490215302,-0.05114202946424484,-0.33738672733306885,-0.1001511812210083,-0.22382456064224243,-0.435768723487854,-0.07192951440811157,-0.22895970940589905,-0.546369731426239,-0.12597540020942688,-0.16464073956012726,-0.42466670274734497,-0.11731548607349396,-0.12441235035657883,-0.3143956661224365,-0.09851532429456711,0.0,0.0,0.0,-0.14906232059001923,-0.23591174185276031,-0.08257395029067993,-0.2511076033115387,-0.5202941298484802,-0.13336847722530365,-0.29738208651542664,-0.8068237900733948,-0.17934277653694153,-0.35063013434410095,-1.0,-0.20826484262943268,-0.09037625044584274,-0.7703192830085754,-0.06670047342777252,-0.07943587005138397,-0.9148472547531128,-0.14013604819774628,-0.09419108182191849,-0.6675874590873718,-0.16622401773929596,-0.10374628752470016,-0.5139051079750061,-0.17502836883068085,0.02830757386982441,-0.7361308932304382,-0.06058577820658684,0.03093484416604042,-0.8805248737335205,-0.1563318967819214,-0.007723214104771614,-0.5770076513290405,-0.17564597725868225,-0.024426113814115524,-0.44485270977020264,-0.1737348437309265,0.13019128143787384,-0.6626272797584534,-0.0647454559803009,0.13857559859752655,-0.8001354932785034,-0.15234112739562988,0.08011225610971451,-0.531700849533081,-0.11782987415790558,0.042338475584983826,-0.39381614327430725,-0.07777848094701767,0.21486686170101166,-0.5507158637046814,-0.07688525319099426,0.23093195259571075,-0.6783251762390137,-0.12947680056095123,0.16883884370326996,-0.512827455997467,-0.09982404112815857,0.1257411539554596,-0.42738965153694153,-0.06724287569522858
A,0.0,0.0,0.0,0.10923750698566437,-0.24913012981414795,-0.04057522490620613,0.16706296801567078,-0.5583221316337585,-0.05197259411215782,0.1834636777639389,-0.8120325803756714,-0.06448058038949966,0.19229130446910858,-1.0,-0.06692295521497726,0.0033222155179828405,-0.7436887621879578,-0.01612929254770279,-0.001035695313476026,-0.9248813986778259,-0.07550990581512451,0.03898381441831589,-0.712009072303772,-0.10430364310741425,0.04454199969768524,-0.5725614428520203,-0.11253488063812256,-0.07505044341087341,-0.6798731088638306,-0.01932595856487751,-0.09167858958244324,-0.8424256443977356,-0.08863022923469543,-0.031711798161268234,-0.6024463772773743,-0.10717692971229553,-0.015960389748215675,-0.46717965602874756,-0.10615204274654388,-0.15167070925235748,-0.5826796293258667,-0.031212003901600838,-0.16955168545246124,-0.7325314879417419,-0.0982530489563942,-0.09887440502643585,-0.5227439403533936,-0.07537459582090378,-0.07718139886856079,-0.39708927273750305,-0.04419776052236557,-0.23759165406227112,-0.4675968885421753,-0.0461743026971817,-0.2437364161014557,-0.6005144119262695,-0.08559922873973846,-0.1763036847114563,-0.4637683033943176,-0.05871996656060219,-0.14948230981826782,-0.3638676404953003,-0.027938570827245712,0.0,0.0,0.0,-0.15833531320095062,-0.2242722064256668,-0.06607678532600403,-0.26437637209892273,-0.5423305034637451,-0.10658389329910278,-0.31000465154647827,-0.8210582733154297,-0.14502672851085663,-0.34507977962493896,-1.0,-0.16685807704925537,-0.09627640247344971,-0.7764002084732056,-0.06112232431769371,-0.09815974533557892,-0.941782534122467,-0.13558898866176605,-0.11907058209180832,-0.6784772276878357,-0.160173237323761,-0.10571122914552689,-0.5848431587219238,-0.1708545833826065,0.013703569769859314,-0.7338990569114685,-0.06485952436923981,0.013016290962696075,-0.898448646068573,-0.14846259355545044,-0.0280461385846138,-0.5850188732147217,-0.14712318778038025,-0.022186046466231346,-0.5167403221130371,-0.13304968178272247,0.1186181977391243,-0.666995644569397,-0.08047953248023987,0.13028591871261597,-0.8252100348472595,-0.16520021855831146,0.0670156329870224,-0.5292943716049194,-0.11817450076341629,0.05276311933994293,-0.4456734359264374,-0.07047922909259796,0.21056410670280457,-0.570021390914917,-0.1026526391506195,0.2338157743215561,-0.7194312810897827,-0.1465975046157837,0.17122046649456024,-0.5313368439674377,-0.10609982162714005,0.14867790043354034,-0.4614771604537964,-0.06748990714550018
