feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,label
0.596804,0.490312,0.134271,0.806915,0.754524,0.238962,0.878803,0.562508,0.194596,0.590711,0.341315,0.175014,0.885509,0.337745,0.791502,0.771608,0.555221,0.255473,0.186377,0.690274,0.265057,0.565631,0.296769,0.364919,0.672029,0.363618,0.728231,0.361184,0.115116,0.862248,0.11188,0.478972,0.509689,0.177505,0.850626,0.120161,0.680849,0.363028,0.567722,0.152941,0.557383,0.771957,0.862569,0.401166,0.480188,0.688534,0.699407,0.788481,0.391209,0.389933,0.169639,0.176512,0.821302,0.856275,0.117967,0.538506,0.895693,0.744643,0.409508,0.870096,0.882835,0.305789,0.691487,0.314584,0.898747,0.66856,0.302723,0.378675,0.555259,0.576235,0.517049,0.151451,0.37537,0.219811,0.649926,0.613439,0.710512,0.592269,0.757349,0.440047,0.431147,0.681542,0.459554,0.884271,0.545218,0.660126,0.705141,0.6986,0.731476,0.329711,0.609121,0.334399,0.476808,0.47219,0.218568,0.211052,0.415696,0.709555,0.668046,0.484485,0.416379,0.384484,0.446712,0.384777,0.806145,0.518967,0.168125,0.855503,0.16067,0.685541,0.756249,0.321556,0.495168,0.259741,0.626438,0.58809,0.811867,0.293598,0.508489,0.624906,0.438601,0.264157,0.445432,0.187425,0.707207,0.515876,BAD
0.750969,0.145313,0.344759,0.855792,0.615103,0.582299,0.777141,0.693842,0.252368,0.542674,0.604764,0.196744,0.113163,0.51758,0.899881,0.35798,0.833061,0.776614,0.163112,0.610938,0.830808,0.766009,0.346549,0.625641,0.498131,0.322238,0.137093,0.849343,0.754039,0.820235,0.506472,0.179589,0.573667,0.535024,0.775758,0.210404,0.339812,0.235086,0.161484,0.259743,0.764492,0.284224,0.815363,0.273472,0.814237,0.895246,0.806849,0.549367,0.890388,0.424411,0.703372,0.301359,0.806991,0.151956,0.396885,0.512079,0.273188,0.483722,0.804439,0.83769,0.369808,0.507909,0.425014,0.647041,0.521481,0.43751,0.795362,0.657685,0.466883,0.41327,0.249634,0.162606,0.255253,0.209927,0.783712,0.736365,0.747312,0.217968,0.14587,0.843176,0.553066,0.206676,0.440729,0.137215,0.610902,0.19463,0.463225,0.755368,0.298661,0.384615,0.357605,0.405592,0.569548,0.637379,0.159198,0.498452,0.173252,0.446143,0.705566,0.882542,0.660272,0.452445,0.492564,0.671034,0.127584,0.650741,0.428082,0.355347,0.248631,0.489789,0.116285,0.402683,0.783034,0.169895,0.870771,0.235738,0.823555,0.833556,0.336459,0.554492,0.696928,0.518477,0.897469,0.485623,0.673426,0.55154,BAD
0.749232,0.167311,0.343083,0.180541,0.701619,0.459508,0.682661,0.593631,0.629741,0.770587,0.434068,0.875695,0.117588,0.633716,0.24829,0.242538,0.707141,0.507807,0.531885,0.204445,0.444026,0.47613,0.767645,0.526814,0.176019,0.570099,0.80196,0.74786,0.287833,0.294949,0.582371,0.723167,0.619328,0.678913,0.545378,0.26627,0.192849,0.797981,0.621491,0.463055,0.374661,0.164043,0.493985,0.44224,0.241687,0.179211,0.194402,0.534865,0.20589,0.524522,0.542314,0.89057,0.674706,0.258836,0.257533,0.254048,0.591862,0.367999,0.564912,0.479004,0.648196,0.261123,0.174295,0.580282,0.507886,0.161872,0.292246,0.529473,0.351014,0.802632,0.150199,0.288657,0.828565,0.603454,0.238468,0.260521,0.764222,0.277419,0.732815,0.142217,0.715203,0.611914,0.830462,0.819655,0.622664,0.264467,0.844019,0.3767,0.501134,0.366977,0.858175,0.864033,0.128698,0.132591,0.132677,0.526743,0.289543,0.268936,0.152093,0.364253,0.84463,0.491149,0.886529,0.397292,0.767791,0.739463,0.731537,0.385558,0.381688,0.699508,0.31668,0.26257,0.844021,0.845617,0.185708,0.492946,0.279363,0.879128,0.868993,0.849588,0.356336,0.178791,0.191721,0.429086,0.812673,0.561773,BAD
0.563135,0.129854,0.818312,0.346113,0.841047,0.234758,0.197255,0.26813,0.748064,0.761819,0.38509,0.495459,0.81286,0.699125,0.43524,0.86904,0.259999,0.702965,0.455222,0.689533,0.582612,0.857009,0.32584,0.676184,0.713124,0.799617,0.555986,0.598866,0.648562,0.742911,0.514211,0.229018,0.778268,0.149905,0.374623,0.315802,0.509506,0.858084,0.536512,0.403674,0.65985,0.577565,0.535452,0.725226,0.396209,0.189335,0.220446,0.741082,0.326875,0.82847,0.232103,0.283272,0.548385,0.280678,0.367051,0.543758,0.364307,0.370179,0.735499,0.656756,0.594164,0.698994,0.756223,0.757824,0.329107,0.890439,0.132143,0.434935,0.51586,0.52496,0.608009,0.147412,0.73228,0.406563,0.133693,0.369707,0.88203,0.574312,0.339932,0.167653,0.520551,0.778848,0.456292,0.84982,0.729951,0.63188,0.669958,0.567888,0.478859,0.455666,0.615442,0.788892,0.114774,0.779677,0.180959,0.841976,0.474273,0.809134,0.745426,0.341325,0.667393,0.740036,0.153813,0.753088,0.421758,0.571815,0.210097,0.612843,0.250514,0.722899,0.755789,0.43191,0.312539,0.541718,0.630905,0.759632,0.707753,0.253371,0.162692,0.120579,0.191605,0.836365,0.777955,0.296996,0.382713,0.108553,BAD
0.747284,0.7635,0.85216,0.388172,0.837313,0.622108,0.335868,0.259401,0.195982,0.624842,0.415056,0.241201,0.573684,0.53484,0.338859,0.648293,0.454769,0.696081,0.455827,0.421155,0.204732,0.685404,0.355744,0.256502,0.732954,0.842525,0.47246,0.215337,0.729534,0.845417,0.501725,0.72102,0.806079,0.847674,0.616523,0.824657,0.432782,0.695342,0.5698,0.828025,0.455799,0.71731,0.312482,0.871077,0.687929,0.753112,0.598671,0.136688,0.24387,0.558582,0.790778,0.155468,0.349203,0.824277,0.876577,0.44826,0.625528,0.831672,0.47125,0.172524,0.728119,0.785458,0.213449,0.824916,0.619756,0.310764,0.542097,0.500762,0.219533,0.610002,0.793325,0.385898,0.330531,0.625824,0.518731,0.191526,0.234325,0.626881,0.199264,0.804611,0.126783,0.594414,0.21256,0.157085,0.704172,0.203329,0.627288,0.463487,0.691614,0.781383,0.215299,0.846647,0.16394,0.57347,0.767674,0.273594,0.330976,0.241603,0.809111,0.861206,0.671234,0.314242,0.84883,0.745909,0.159544,0.738248,0.385901,0.36531,0.637645,0.380116,0.493884,0.71027,0.657324,0.617766,0.540481,0.181388,0.151428,0.636964,0.469013,0.406575,0.434727,0.701874,0.332975,0.376386,0.569658,0.208968,BAD
0.398122,0.51449,0.394363,0.722428,0.675267,0.120846,0.76426,0.51918,0.751479,0.207886,0.660718,0.483107,0.115838,0.722892,0.414265,0.56023,0.194054,0.454988,0.654762,0.825709,0.192605,0.827108,0.190123,0.541637,0.347747,0.138116,0.534352,0.107625,0.172451,0.106259,0.208446,0.565739,0.888974,0.304356,0.625184,0.482993,0.846952,0.488528,0.801629,0.660166,0.25175,0.86706,0.29867,0.762803,0.334382,0.465171,0.455482,0.359322,0.523328,0.655952,0.11914,0.490518,0.419714,0.552913,0.842229,0.117109,0.170245,0.323815,0.270984,0.438616,0.632039,0.771105,0.751745,0.641855,0.623997,0.350051,0.610302,0.221429,0.622588,0.452872,0.287556,0.831921,0.513918,0.213137,0.65141,0.129236,0.780508,0.196509,0.456899,0.726709,0.875661,0.570829,0.471933,0.67978,0.614003,0.223924,0.614229,0.806838,0.228082,0.741293,0.663317,0.490852,0.529255,0.403329,0.34118,0.785873,0.57264,0.550665,0.419426,0.715394,0.35263,0.755383,0.856911,0.498007,0.874041,0.804088,0.440562,0.576102,0.802065,0.191297,0.414952,0.151532,0.426522,0.356607,0.585601,0.265754,0.487179,0.533275,0.272784,0.544005,0.337719,0.818733,0.305555,0.117502,0.102371,0.272806,BAD
0.235509,0.391798,0.851333,0.616937,0.173,0.266334,0.353132,0.695459,0.83846,0.638208,0.775946,0.642739,0.152102,0.256334,0.465369,0.390254,0.124771,0.702007,0.691277,0.819138,0.632976,0.280152,0.697483,0.390836,0.217214,0.738678,0.64513,0.80808,0.271495,0.142904,0.879641,0.375753,0.650363,0.226155,0.59329,0.185531,0.121497,0.474202,0.76661,0.350292,0.627214,0.700153,0.332529,0.100302,0.194112,0.560169,0.358037,0.375484,0.303902,0.535518,0.376836,0.730737,0.513416,0.795832,0.32392,0.569179,0.5621,0.849692,0.725418,0.237449,0.447308,0.561397,0.839922,0.231269,0.628331,0.451605,0.420247,0.493365,0.254391,0.876555,0.292162,0.246177,0.715681,0.882766,0.854695,0.122904,0.61336,0.156002,0.708026,0.587557,0.595336,0.231492,0.487245,0.303212,0.60164,0.583423,0.53439,0.4539,0.110542,0.442991,0.37135,0.863975,0.100768,0.770836,0.210863,0.25027,0.135367,0.826472,0.838574,0.597719,0.34919,0.385502,0.18627,0.885443,0.200304,0.569577,0.791861,0.874541,0.384802,0.482404,0.217854,0.705814,0.550299,0.628863,0.471487,0.276855,0.409062,0.170991,0.383245,0.478962,0.205643,0.34833,0.773951,0.778689,0.423696,0.338892,BAD
0.543737,0.515789,0.855378,0.261556,0.57944,0.688377,0.820866,0.203631,0.883077,0.360306,0.14492,0.282077,0.480772,0.101388,0.554237,0.791341,0.829721,0.278645,0.688378,0.21952,0.673672,0.324505,0.454491,0.141805,0.455221,0.713487,0.483806,0.476197,0.248722,0.533017,0.158347,0.189256,0.698816,0.460232,0.338215,0.879257,0.48949,0.645337,0.545416,0.546668,0.493126,0.386293,0.326385,0.411133,0.746299,0.243749,0.367888,0.344988,0.151309,0.633461,0.866566,0.148844,0.880867,0.825668,0.841182,0.142364,0.340796,0.217505,0.82458,0.262017,0.874685,0.132101,0.211908,0.537253,0.229343,0.647885,0.72055,0.18233,0.269258,0.278526,0.168693,0.389814,0.176879,0.179938,0.571772,0.380702,0.353956,0.301311,0.878825,0.678683,0.453796,0.749378,0.25944,0.784902,0.339654,0.504455,0.18415,0.322654,0.311313,0.556874,0.658736,0.782603,0.77037,0.626754,0.492537,0.22578,0.747005,0.209202,0.120412,0.711179,0.552891,0.846478,0.246732,0.218975,0.745664,0.298456,0.841366,0.152891,0.441297,0.552377,0.151154,0.828463,0.558801,0.581787,0.368851,0.709244,0.214652,0.804547,0.357833,0.445023,0.799198,0.414451,0.650657,0.720513,0.447431,0.55368,BOOK
0.730506,0.235196,0.579131,0.682829,0.785445,0.891944,0.772926,0.197079,0.412956,0.65413,0.611942,0.540603,0.815791,0.224558,0.10848,0.623531,0.757729,0.519275,0.623113,0.776108,0.841192,0.239768,0.85497,0.693236,0.171506,0.704283,0.188734,0.282587,0.720189,0.390996,0.118636,0.114025,0.504796,0.33449,0.428376,0.18841,0.855129,0.751345,0.597653,0.788476,0.585464,0.616894,0.490197,0.697482,0.800886,0.61797,0.184479,0.461562,0.32759,0.624818,0.232135,0.637925,0.456372,0.430463,0.16761,0.76273,0.453659,0.798769,0.507206,0.365023,0.136173,0.81935,0.704959,0.182614,0.447908,0.844315,0.63893,0.528715,0.367322,0.428709,0.473882,0.682098,0.283875,0.487636,0.493521,0.816147,0.213286,0.111532,0.888589,0.851608,0.19816,0.160654,0.115949,0.372024,0.233739,0.257252,0.692326,0.643879,0.161027,0.420197,0.268324,0.38276,0.422946,0.11455,0.191566,0.575276,0.735927,0.274287,0.382803,0.559636,0.583416,0.42688,0.126801,0.315786,0.402925,0.499152,0.703724,0.531291,0.860944,0.449238,0.802527,0.29619,0.161514,0.424233,0.390674,0.832163,0.626283,0.136361,0.403652,0.463603,0.810256,0.636954,0.253411,0.318791,0.14283,0.355318,BOOK
0.753573,0.407945,0.375797,0.596503,0.767687,0.774002,0.337021,0.43941,0.105118,0.243777,0.75901,0.339209,0.258107,0.454988,0.703668,0.278294,0.398839,0.568565,0.693751,0.153163,0.550784,0.551777,0.710361,0.803318,0.582106,0.186781,0.513192,0.742733,0.621524,0.744809,0.839176,0.89439,0.510601,0.662281,0.543839,0.371838,0.762328,0.238281,0.454738,0.594758,0.301719,0.43756,0.267698,0.420683,0.152022,0.211531,0.695718,0.662782,0.642186,0.223796,0.639229,0.69992,0.233988,0.77535,0.722671,0.476812,0.266297,0.418784,0.706973,0.300114,0.617615,0.850056,0.88498,0.120995,0.899468,0.836721,0.385966,0.203045,0.755446,0.682403,0.718612,0.264035,0.370823,0.181783,0.299668,0.75534,0.196557,0.740656,0.848348,0.175836,0.468065,0.16617,0.335236,0.582835,0.203411,0.293241,0.798151,0.435579,0.645692,0.730072,0.441063,0.702148,0.671489,0.361824,0.728152,0.178108,0.545304,0.41675,0.892715,0.341545,0.260299,0.834556,0.812585,0.473207,0.626214,0.521167,0.512119,0.120233,0.427859,0.724011,0.263863,0.259608,0.447128,0.690954,0.598907,0.305479,0.156784,0.341978,0.687397,0.866944,0.47214,0.506654,0.456339,0.726268,0.206153,0.716338,BOOK
